col	header	nonEmpty	empty	fillPct	uniqueRaw	uniqueTrim	uniqueNonEmpty	uniqueAllRows	num	dateSerial	text	bool	other	minLen	maxLen	persianDigits	latinDigits	arabicYeKaf	leadTrailSpace	multiSpace	numericAsText	dateLikeText	samples	topValues
1	ردیف	280	0	100	280	280	True	True	280	0	0	0	0	1	3	False	True	False	False	False	0	0	1 || 2 || 3 || 4 || 5 || 6 || 7 || 8 || 9 || 10	118=1 || 254=1 || 182=1 || 92=1 || 256=1 || 161=1
2	شماره کوتاژ	280	0	100	277	277	False	False	280	0	0	0	0	5	6	False	True	False	False	False	0	0	83169 || 83172 || 83226 || 83229 || 83238 || 83244 || 83256 || 83265 || 83268 || 83271	143337=2 || 128734=2 || 83391=2 || 83688=1 || 127789=1 || 167377=1
3	تاریخ کوتاژ	280	0	100	277	277	False	False	0	0	280	0	0	15	19	False	True	False	False	False	0	280	1398/6/6 7:12:7 || 1398/6/6 7:18:49 || 1398/6/6 12:57:33 || 1398/6/6 13:11:13 || 1398/6/6 13:32:59 || 1398/6/6 13:48:43 || 1398/6/6 14:12:28 || 1398/6/6 14:22:46 || 1398/6/6 14:27:46 || 1398/6/6 14:33:7	1398/6/7 9:49:21=2 || 1401/2/9 14:16:19=2 || 1401/11/11 9:11:47=2 || 1401/1/23 13:34:33=1 || 1401/2/8 11:30:49=1 || 1398/6/6 16:14:31=1
4	کد تعرفه	280	0	100	98	98	False	False	280	0	0	0	0	8	8	False	True	False	False	False	0	0	85423100 || 91029900 || 84717090 || 85122010 || 85072010 || 71049090 || 33030090 || 42023900 || 85234990 || 84715020	82075090=33 || 85369090=23 || 76161010=22 || 85423100=15 || 85340000=11 || 85235100=10
5	شرح کالا	280	0	100	158	158	False	False	0	0	280	0	0	2	64	False	True	False	False	True	0	0	آی سی-TA8207K || ساعت مچی || رم کامپیوتر || آمپلی فایر-TAD2003V 10w car radio audio amplifier || قطعه الکترونیکی فاقدکشور سازنده || لوازم یدکی خودرو بنز || آ ی سی || آی سی || نوار ویدیوئی-بالشتک صندلی وسنگ || قطعات کامپیوتر(رم)	مته دریل=17 || مته دریل به مارک HSS=13 || لوازم جانبی موبایل=13 || میخ پرچ به مارک  ECH=10 || سی دی=10 || مته دریل و میخ پرچ=6
6	وزن ناخالص	280	0	100	82	82	False	False	280	0	0	0	0	1	4	False	True	False	False	False	0	0	1 || 13.5 || 44 || 11 || 3.5 || 10 || 4 || 17 || 22 || 3	20=21 || 5=17 || 1=17 || 2=14 || 10=14 || 3=10
7	ارزش ریالی کالا	280	0	100	160	160	False	False	280	0	0	0	0	5	11	False	True	False	False	False	0	0	8400000 || 3360000 || 1260000 || 126000000 || 18900000 || 10752000 || 42000000 || 420000 || 12600000 || 4200000	420000=16 || 16800000=8 || 142500000=7 || 4200000=7 || 5040000=5 || 8400000=5
8	ارزش ارزی اظهارنامه	280	0	100	121	121	False	False	280	0	0	0	0	1	6	False	True	False	False	False	0	0	200 || 80 || 30 || 3000 || 450 || 256 || 1000 || 10 || 300 || 100	10=16 || 100=12 || 400=12 || 200=11 || 500=10 || 120=9
9	شماره قبض انبار	280	0	100	277	277	False	False	280	0	0	0	0	5	6	False	True	False	False	False	0	0	108405 || 117475 || 114930 || 111449 || 113888 || 113543 || 108335 || 113599 || 113961 || 114692	201856=2 || 176905=2 || 176074=2 || 155604=1 || 191956=1 || 110623=1
10	محل ارزیابی	280	0	100	1	1	False	False	0	0	280	0	0	8	8	False	False	False	False	False	0	0	گمرک کیش	گمرک کیش=280
11	مرحله اظهارنامه	280	0	100	1	1	False	False	0	0	280	0	0	8	8	False	False	False	False	False	0	0	درب خروج	درب خروج=280
12	حقوق استنباطی گمرک	280	0	100	252	252	False	False	280	0	0	0	0	5	10	False	True	False	False	False	0	0	1791510 || 2624586 || 233205 || 691530 || 27457710 || 8760885 || 2304834 || 9124710 || 396375 || 2708160	689000=3 || 6360000=3 || 14840000=3 || 83580=3 || 636000=3 || 206700=2
13	واریزی اموال تملیکی	280	0	100	1	1	False	False	280	0	0	0	0	1	1	False	True	False	False	False	0	0	0	0=280
14	وضعیت کالا	280	0	100	2	2	False	False	0	0	280	0	0	9	16	False	False	False	False	False	0	0	در انتظار پرداخت || خارج نشده	در انتظار پرداخت=238 || خارج نشده=42
15	تاریخ اعلام به اموال تملیکی	280	0	100	108	108	False	False	0	19	261	0	0	8	32	False	True	False	False	False	221	74	98/8/9-98/1028392 || 98/1028392 || 1401/141558 || 99/1216700 || 99/198442 || 1401/198102 || 1401/175788 || 1401/198104 || 99/2/30-99/198442 || 11265486	1401/175788=50 || 1401/1733281=31 || 99/1216700=22 || 99/2/30-99/198442=21 || 98/8/9-98/1028392=13 || 98/1028392=12
16	تاریخ خروج کالا  از گمرک توسط اموال تملیکی	280	0	100	5	5	False	False	0	0	280	0	0	21	25	False	True	False	False	False	204	280	1400/1572777-1400/11/16 || 1402/02139652-1402/05/03 || 1404/03/18 - 04135787 || 1402/2135536-1402/03/20 || 1404/1402541 - 1404/09/22	1402/02139652-1402/05/03=107 || 1402/2135536-1402/03/20=63 || 1404/1402541 - 1404/09/22=42 || 1404/03/18 - 04135787=34 || 1400/1572777-1400/11/16=34
