ردیف	شماره کوتاژ	تاریخ کوتاژ	کد تعرفه	شرح کالا	وزن ناخالص	ارزش ریالی کالا	ارزش ارزی اظهارنامه	شماره قبض انبار	محل ارزیابی	مرحله اظهارنامه	حقوق استنباطی گمرک	واریزی اموال تملیکی	وضعیت کالا	تاریخ اعلام به اموال تملیکی	تاریخ خروج کالا  از گمرک توسط اموال تملیکی
1	83439	1398/6/7 10:53:8	42022900	لوازم جانبی موبایل	85	63000000	1500	193119	گمرک کیش	درب خروج	35537460	0	خارج نشده	1401/279997	کالا از گمرک خارج نشده است
2	83984	1401/1/27 14:11:19	76161010	میخ پرچ به مارک TECH	15	3150000	75	1955870	گمرک کیش	درب خروج	8218353	0	خارج نشده	1401/175788	کالا از گمرک خارج نشده است
3	91619	1398/12/4 12:54:56	68138100	لنت ترمز دوچرخه	54	21000000	500	131269	گمرک کیش	درب خروج	21258860	0	خارج نشده	1401/175788	کالا از گمرک خارج نشده است
4	127602	1401/1/22 9:32:30	96140000	قلیان الکترونیک و اسانس	25	229380000	5000	282680	گمرک کیش	درب خروج	848000000	0	خارج نشده	1401/273632	کالا از گمرک خارج نشده است
5	127638	1401/1/22 9:36:7	69074090	سرامیک ابکاری شده با فلز گرانبها	100	3066000000	73000	265896	گمرک کیش	درب خروج	14462069841	0	خارج نشده	1401/273632	کالا از گمرک خارج نشده است
6	127641	1401/1/22 9:35:54	63014000	پتو - روتختی -  حوله	200	36700800	800	274920	گمرک کیش	درب خروج	138240000	0	خارج نشده	1401/175788	کالا از گمرک خارج نشده است
7	127653	1401/1/22 9:35:23	19053100	بیسکویت	50	4200000	100	503070	گمرک کیش	درب خروج	5035000	0	خارج نشده	1401/273632	کالا از گمرک خارج نشده است
8	127662	1401/1/22 9:35:5	84134000	کمپرسور	50	458760000	10000	502795	گمرک کیش	درب خروج	378000000	0	خارج نشده	1401/175788	کالا از گمرک خارج نشده است
9	127665	1401/1/22 8:58:53	32091040	رنگ	2000	581340672	12672	501747	گمرک کیش	درب خروج	1074585600	0	خارج نشده	1401/175788	کالا از گمرک خارج نشده است
10	127690	1401/1/22 9:26:15	87087021	رینگ و لاستیک خودرو	50	18350400	400	254517	گمرک کیش	درب خروج	5725323	0	خارج نشده	1401/273632	کالا از گمرک خارج نشده است
11	127744	1401/1/23 13:57:50	85322510	الکترونیک	1	458760	10	114193	گمرک کیش	درب خروج	344891	0	خارج نشده	11265592	کالا از گمرک خارج نشده است
12	127804	1401/1/23 13:52:58	71049090	نگین زیرکونیوم	20	2100000000	50000	131490	گمرک کیش	درب خروج	2061345010	0	خارج نشده	1401/273632	کالا از گمرک خارج نشده است
13	127810	1401/1/23 13:51:19	85423100	ای سی	1	917520	20	108609	گمرک کیش	درب خروج	742000	0	خارج نشده	11265607	کالا از گمرک خارج نشده است
14	127888	1401/1/23 13:31:49	85340000	برد سوار شده الکترونیک	40	58800000	1400	207644	گمرک کیش	درب خروج	51940000	0	خارج نشده	1401/274665	کالا از گمرک خارج نشده است
15	127967	1401/1/27 8:17:26	84212110	پودر سفید رنگ به مارک MIN TREAT	160	67200000	1600	286428	گمرک کیش	درب خروج	73696001	0	خارج نشده	1401/141558	کالا از گمرک خارج نشده است
16	128189	1401/2/6 16:5:12	83030000	گاو صندوق بصورت مستعمل	25	6300000	150	133659	گمرک کیش	درب خروج	11527500	0	خارج نشده	1401/198129	کالا از گمرک خارج نشده است
17	128261	1401/2/6 8:19:53	21061090	مواد غذایی	400	33600000	800	506630	گمرک کیش	درب خروج	61480000	0	خارج نشده	99/198442	کالا از گمرک خارج نشده است
18	128264	1401/2/9 16:1:2	33030090	کرم به مارک و مشخصه VITAMINE و ادکلن	14	29400000	700	265054	گمرک کیش	درب خروج	14335461	0	خارج نشده	1401/273632	کالا از گمرک خارج نشده است
19	128293	1401/2/9 16:0:37	33074900	اسپری خوشبو کننده به مارک Q  به 150 میل	1500	126000000	3000	276502	گمرک کیش	درب خروج	61437620	0	خارج نشده	1401/175788	کالا از گمرک خارج نشده است
20	128299	1401/2/5 10:34:48	90015090	شیشه عینک	2750	15509340000	369270	199050	گمرک کیش	درب خروج	12369594271	0	خارج نشده	1401/201997	کالا از گمرک خارج نشده است
21	128299	1401/2/5 10:34:48	84818090	شیر (ولو) از جنس پلاستیکی	2618	15509340000	369270	199050	گمرک کیش	درب خروج	12369594271	0	خارج نشده	1401/201997	کالا از گمرک خارج نشده است
22	128305	1401/2/9 10:36:13	85369090	مدار الکترونیکی  به مارک HYG	500	420000000	10000	207180	گمرک کیش	درب خروج	159014000	0	خارج نشده	1401/277767	کالا از گمرک خارج نشده است
23	128317	1401/2/6 16:41:54	85235100	CD  فله به مارک CISCO	2	588000	14	133804	گمرک کیش	درب خروج	482300	0	خارج نشده	1401/273632	کالا از گمرک خارج نشده است
24	128350	1401/2/6 16:19:11	85235100	CD به مارک CISCO	3	840000	20	184808	گمرک کیش	درب خروج	689000	0	خارج نشده	99/1216700	کالا از گمرک خارج نشده است
25	128374	1401/2/6 16:36:19	85235100	CD سی دی	1	294000	7	148259	گمرک کیش	درب خروج	241150	0	خارج نشده	99/1216700	کالا از گمرک خارج نشده است
26	128389	1401/2/7 15:53:0	84733010	کیس کامپیوتر	5	1470000	35	110604	گمرک کیش	درب خروج	2226000	0	خارج نشده	99/1216700	کالا از گمرک خارج نشده است
27	128461	1401/2/9 14:19:16	84833000	یاتاقان	200	126000000	3000	115381	گمرک کیش	درب خروج	111300000	0	خارج نشده	1401/175788	کالا از گمرک خارج نشده است
28	128464	1401/2/9 14:18:32	84833000	یاتاقان	600	378000000	9000	115204	گمرک کیش	درب خروج	333900000	0	خارج نشده	1401/175788	کالا از گمرک خارج نشده است
29	128533	1401/2/7 15:50:44	84733010	کیس کامپیوتر	5	840000	20	111151	گمرک کیش	درب خروج	1272000	0	خارج نشده	11264866	کالا از گمرک خارج نشده است
30	128539	1401/2/7 15:51:47	85369090	قطعات ریز الکترونیک به مارک EVERLIGHT	20	16800000	400	116067	گمرک کیش	درب خروج	25440000	0	خارج نشده	99/198442	کالا از گمرک خارج نشده است
31	128545	1401/2/7 15:52:1	37023100	نوار کوچک دوربین فیلم برداری به مارک exabyte	1	420000	10	113287	گمرک کیش	درب خروج	344500	0	خارج نشده	1401/175788	کالا از گمرک خارج نشده است
32	128563	1401/2/6 16:9:17	85369090	قطعات الکترونیک ریز مارک DNATA	3	2520000	60	152783	گمرک کیش	درب خروج	2226000	0	خارج نشده	99/1216700	کالا از گمرک خارج نشده است
33	128578	1401/2/8 12:7:2	68138100	لنت	50	14700000	350	131269	گمرک کیش	درب خروج	6546360	0	خارج نشده	99/1216700	کالا از گمرک خارج نشده است
