source_row,normalized_kootaj,letter_system_id,letter_number,letter_date,letter_date_source,has_valid_letter,description
2,202062,19383241,,1405/02/13ش 11:04,تاریخ تهیه,false,اظهارنامه متروکه به شماره کوتاژ 202062
3,202071,19383321,,1405/02/13ش 11:07,تاریخ تهیه,false,اظهارنامه متروکه به شماره کوتاژ 202071
4,184402,19383580,,1405/02/13ش 11:16,تاریخ تهیه,false,اظهارنامه متروکه به شماره کوتاژ 184402
5,202062,19392039,,1405/02/14ش 11:48,تاریخ تهیه,false,اظهارنامه متروکه به شماره کوتاژ 202062
6,202071,19501596,,1405/03/02ش 10:14,تاریخ تهیه,false,اظهارنامه متروکه به شماره کوتاژ 202071
7,202572,19503976,,1405/03/02ش 11:30,تاریخ تهیه,false,اظهارنامه متروکه به شماره کوتاژ 202572
8,208856,19620794,,1405/03/23ش 10:54,تاریخ تهیه,false,اظهارنامه متروکه به شماره کوتاژ 208856
9,208856,19621731,,1405/03/23ش 10:59,تاریخ تهیه,false,اظهارنامه متروکه به شماره کوتاژ 208856
10,210346,19875027,,1405/05/06ش 11:29,تاریخ تهیه,false,اظهارنامه متروکه به شماره کوتاژ 210346
11,210346,19874377,1405/603212,1405/05/06ش 11:54,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 210346
12,208856,19621761,1405/371182,1405/03/23ش 11:36,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 208856
13,203782,19504994,1405/263813,1405/03/02ش 12:03,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203782
14,202830,19504910,1405/263743,1405/03/02ش 12:00,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202830
15,202638,19504747,1405/263558,1405/03/02ش 11:54,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202638
16,202635,19504623,1405/263551,1405/03/02ش 11:54,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202635
17,202572,19504033,1405/262988,1405/03/02ش 11:36,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202572
18,202539,19503900,1405/262792,1405/03/02ش 11:29,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202539
19,202388,19503795,1405/262688,1405/03/02ش 11:25,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202388
20,202385,19503733,1405/262646,1405/03/02ش 11:24,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202385
21,202376,19503535,1405/262580,1405/03/02ش 11:22,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202376
22,202355,19503414,1405/262565,1405/03/02ش 11:21,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202355
23,202382,19503669,1405/262556,1405/03/02ش 11:21,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202382
24,202379,19503607,1405/262476,1405/03/02ش 11:19,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202379
25,202277,19503312,1405/262474,1405/03/02ش 11:19,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202277
26,202358,19503468,1405/262451,1405/03/02ش 11:18,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202358
27,202119,19503120,1405/262347,1405/03/02ش 11:15,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202119
28,202197,19503196,1405/262291,1405/03/02ش 11:13,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202197
29,202125,19503031,1405/261963,1405/03/02ش 11:01,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202125
30,202116,19502722,1405/261859,1405/03/02ش 10:57,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202116
31,202110,19502604,1405/261724,1405/03/02ش 10:52,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202110
32,202092,19502481,1405/261526,1405/03/02ش 10:45,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202092
33,202080,19502340,1405/261493,1405/03/02ش 10:44,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202080
34,202074,19502215,1405/261460,1405/03/02ش 10:43,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202074
35,202071,19482455,1405/243360,1405/02/29ش 11:02,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202071
36,202725,19408173,1405/190497,1405/02/20ش 12:48,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202725
37,202944,19408483,1405/190494,1405/02/20ش 12:48,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202944
38,184402,19407143,1405/190492,1405/02/20ش 12:48,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 184402
39,202629,19409772,1405/175209,1405/02/16ش 14:56,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202629
40,202632,19409800,1405/175207,1405/02/16ش 14:56,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202632
41,202770,19409813,1405/175204,1405/02/16ش 14:55,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202770
42,203746,19409614,1405/175202,1405/02/16ش 14:55,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203746
43,203737,19409529,1405/175163,1405/02/16ش 14:44,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203737
44,202274,19409740,1405/175159,1405/02/16ش 14:44,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202274
45,202271,19409728,1405/175153,1405/02/16ش 14:42,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202271
46,203752,19409638,1405/175151,1405/02/16ش 14:42,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203752
47,203743,19409589,1405/175148,1405/02/16ش 14:42,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203743
48,203740,19409559,1405/175146,1405/02/16ش 14:41,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203740
49,203764,19409827,1405/175142,1405/02/16ش 14:41,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203764
50,202373,19409746,1405/175141,1405/02/16ش 14:40,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202373
51,202128,19409699,1405/175138,1405/02/16ش 14:40,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202128
52,202527,19409760,1405/175137,1405/02/16ش 14:39,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202527
53,202062,19409686,1405/175136,1405/02/16ش 14:38,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202062
54,202249,19409718,1405/175135,1405/02/16ش 14:38,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202249
55,203758,19409658,1405/175132,1405/02/16ش 14:37,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203758
56,203725,19408668,1405/175123,1405/02/16ش 14:35,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203725
57,203731,19408791,1405/175120,1405/02/16ش 14:34,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203731
58,203728,19408724,1405/175116,1405/02/16ش 14:33,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203728
59,203734,19408826,1405/175112,1405/02/16ش 14:33,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203734
60,203716,19408519,1405/175107,1405/02/16ش 14:32,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203716
61,203722,19408587,1405/175104,1405/02/16ش 14:31,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203722
62,203719,19408553,1405/175099,1405/02/16ش 14:31,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 203719
63,202878,19408416,1405/175089,1405/02/16ش 14:30,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202878
64,202875,19408361,1405/175083,1405/02/16ش 14:29,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202875
65,202521,19407761,1405/175078,1405/02/16ش 14:29,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202521
66,202881,19408457,1405/175063,1405/02/16ش 14:27,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202881
67,202542,19407798,1405/175060,1405/02/16ش 14:26,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202542
68,202488,19407588,1405/173939,1405/02/16ش 13:07,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202488
69,202485,19407562,1405/173883,1405/02/16ش 13:05,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202485
70,202497,19407670,1405/173868,1405/02/16ش 13:04,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202497
71,202758,19408249,1405/173854,1405/02/16ش 13:04,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202758
72,202665,19407992,1405/173841,1405/02/16ش 13:03,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202665
73,202569,19407883,1405/173824,1405/02/16ش 13:02,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202569
74,202491,19407630,1405/173813,1405/02/16ش 13:01,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202491
75,202860,19408318,1405/173794,1405/02/16ش 13:00,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202860
76,202746,19408209,1405/173781,1405/02/16ش 13:00,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202746
77,202641,19407965,1405/173762,1405/02/16ش 12:59,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202641
78,202605,19407934,1405/173752,1405/02/16ش 12:59,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202605
79,202554,19407843,1405/173735,1405/02/16ش 12:58,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202554
80,202500,19407708,1405/173729,1405/02/16ش 12:58,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202500
81,202680,19408054,1405/173720,1405/02/16ش 12:57,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202680
82,202479,19407508,1405/173008,1405/02/16ش 12:24,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202479
83,202209,19407304,1405/172998,1405/02/16ش 12:24,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202209
84,202476,19407470,1405/172994,1405/02/16ش 12:23,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202476
85,202467,19407396,1405/172979,1405/02/16ش 12:22,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202467
86,202203,19407267,1405/172888,1405/02/16ش 12:18,تاریخ ثبت,true,اظهارنامه متروکه به شماره کوتاژ 202203
