normalized_kootaj,original_values,row_count,warehouse_receipts,زمان_کوتاژ,ارزش_ریالی,ارزش_ارزی,صاحب_کالا,weight_sum,package_sum,item_names,hs_codes,parent_conflicts
34596,34596,1,289,1401/3/1 13:49:12,"9,205,980,000","219,190",توليدي بازرگاني رايمون پويش شرق,53600,56,موتور دیزل شناور دریایی,84081000,0
177773,177773,1,,1403/9/18 9:41:51,"285,000",1,سازمان جمع آوري و فروش اموال تمليکي,0,1,موتور بنز سواری,84073490,0
202083,202083,1,246005,1404/9/16 13:39:31,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,پمپ باد,84148090,0
202086,202086,1,246008,1404/9/16 13:43:12,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,2,قطعات موتور قایق,91022900,0
202095,202095,1,256101,1404/9/16 13:57:38,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,5,کارتن خالی رم کامپیوتر,48191000,0
202104,202104,3,169777,1404/9/16 14:37:39,"2,045,877",3,سازمان جمع آوري و فروش اموال تمليکي,3,7,قطعات یدکی خودرو || لاستیک خودرو || رینگ و لاستیک خودرو,84099990 || 40111090 || 87087040,0
202182,202182,1,149693,1404/9/18 8:45:36,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,علائم راهنمایی و رانندگی,91022900,0
202206,202206,1,530567,1404/9/24 7:38:1,"4,091,754,000","6,000",سازمان جمع آوري و فروش اموال تمليکي,200,1,یک دستگاه موتور خودرو,84073490,0
202225,202225,1,531315,1404/9/24 7:42:42,"4,091,754,000","6,000",سازمان جمع آوري و فروش اموال تمليکي,200,1,یک دستگاه موتور خودرو,70099200,0
202228,202228,1,531610,1404/9/24 7:42:57,"4,091,754,000","6,000",سازمان جمع آوري و فروش اموال تمليکي,200,1,یک دستگاه موتور خودرو,84099190,0
202234,202234,1,532303,1404/9/24 7:43:14,"4,091,754,000","6,000",سازمان جمع آوري و فروش اموال تمليکي,200,1,یک دستگاه موتور خودرو,91022900,0
202237,202237,1,532296,1404/9/24 7:43:54,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,یک قطعه شاسی خودرو,87060010,0
202240,202240,1,532265,1404/9/24 7:44:8,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,یک قطعه موتور خودرو,84099190,0
202243,202243,1,535116,1404/9/24 7:44:23,"1,114,158,000","6,000",سازمان جمع آوري و فروش اموال تمليکي,200,1,یک دستگاه موتور خودرو,84073490,0
202268,202268,1,536076,1404/9/24 7:44:56,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,تعداد یک کارتن رنگ مو,33059010,0
202280,202280,1,537870,1404/9/24 8:24:40,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,یک قطعه موتور خودرو,84099190,0
202283,202283,1,نامه دستي,1404/9/24 8:25:11,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,یک قطعه پوسته موتور,87083029,0
202286,202286,1,541428,1404/9/24 8:26:10,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,یک قطعه موتور خودرو,84099190,0
202349,202349,1,536860,1404/9/19 13:30:1,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,4,چراغ کامل جلو خودرو,85122010,0
202361,202361,1,542661,1404/9/19 14:16:54,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,ساعت مچی,84099990,0
202364,202364,1,542661,1404/9/19 14:9:13,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,یک قطعه یدکی مربوط به موتور خودرو,84099990,0
202367,202367,1,542661,1404/9/19 14:19:7,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,یک قطعه لوازم یدکی موتور خودرو,84099990,0
202698,202698,2,522442,1404/10/28 8:46:28,"1,363,918",2,سازمان جمع آوري و فروش اموال تمليکي,20,2,سگک چمدان || سیلندر ترمز خودرو سواری,83089000 || 87083024,0
203749,203749,1,281499,1404/10/24 9:48:8,"2,727,836,000","4,000",سازمان جمع آوري و فروش اموال تمليکي,80,1,موتور مستعمل خودرو,87084015,0
203755,203755,1,504064,1404/10/24 9:48:34,"4,228,145,800","6,200",سازمان جمع آوري و فروش اموال تمليکي,50,32,کارت شبکه به مارک HP و یک کارتن کابل شبکه,85176240,0
203761,203761,1,513456,1404/10/24 9:49:23,"31,370,114,000","46,000",سازمان جمع آوري و فروش اموال تمليکي,300,21,ماینر به مارک WHATSMINER,84719020,0
203773,203773,1,255855,1404/10/17 12:9:38,"681,959",1,سازمان جمع آوري و فروش اموال تمليکي,5,1,فن کولر خودرو,84159090,0
204099,204099,1,198866,1404/10/29 13:13:19,"681,959,000","1,000",سازمان جمع آوري و فروش اموال تمليکي,500,23,لوازم برقی,84182900,0
204114,204114,1,515079,1404/10/30 8:18:40,"818,350,800","1,200",سازمان جمع آوري و فروش اموال تمليکي,100,52,چمدان فایبرگلاس به مارک سامسونت,42021200,0
208799,208799,1,549193,1405/2/29 10:55:40,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,10,1,جعبه خالی ساعت مچی,48191000,0
208808,208808,1,531404,1405/2/29 11:52:44,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,8,2,تفنگ بادی,93040090,0
208847,208847,1,530817,1405/2/30 9:17:17,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,7000,12,آب گازدار,22011000,0
208850,208850,1,148420,1405/2/30 10:23:56,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,34,3,سپری سقف کاذب,76042900,0
208853,208853,1,180693,1405/2/30 10:24:42,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,2,1,سی دی,85232990,0
208856,208856,1,536548,1405/2/30 10:25:11,"2,739,281,490","2,090",سازمان جمع آوري و فروش اموال تمليکي,420,38,پمپ اب,84138200,0
208859,208859,1,533236,1405/2/30 10:25:42,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,1,1,چسب پمادی,35061090,0
208868,208868,1,171042,1405/2/30 10:26:1,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,70,5,تیغه سنگ فرز,68042290,0
208872,208872,1,545483,1405/2/30 10:26:26,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,2,1,جا قاشق و چنگال,73239490,0
208941,208941,1,549037,1405/2/30 13:50:5,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,10,3,تعداد 3 کارتن محصولات آرایشی (شامل مام و سرم صورت)به مارک gillette و ordineryو vichy جمعا 830 عدد,33072010,0
208950,208950,1,549369,1405/2/30 13:49:7,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,500,1,بدنه خودرو,87071090,0
209124,209124,1,545544,1405/3/2 12:50:35,"4,587,313,500","3,500",سازمان جمع آوري و فروش اموال تمليکي,60,10,مواد غذایی ( سرلاک، سیروپ),21069080,0
209706,209706,1,553078,1405/3/12 11:29:51,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,150,1,ساعت مچی,84099190,0
209718,209718,1,552105,1405/3/12 11:35:43,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,50,2,لوازم منزل,84501100,0
209721,209721,1,553078,1405/3/12 11:42:5,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,150,1,موتور خودرو,84099190,0
209746,209746,1,549900,1405/3/12 13:40:19,"1,310,661",1,سازمان جمع آوري و فروش اموال تمليکي,50,1,گیربکس,87084020,0
210346,210346,1,140300743,1405/3/24 13:31:34,"1,852,645,536,720","1,413,520",سازمان جمع آوري و فروش اموال تمليکي,3145,1,"موتور هواپیما مدل JT8D-219 سریال 718183,...باقی مطابق اظهارنامه ارزش",84071090,0
210833,210833,1,552530,1405/4/2 12:5:59,"4,587,313,500","3,500",سازمان جمع آوري و فروش اموال تمليکي,150,3,تعداد 3 قطعه شامل یک عدد موتور و دو عدد اکسل خودرو,84073490,0
210842,210842,1,552275,1405/4/2 12:6:34,"4,587,313,500","3,500",سازمان جمع آوري و فروش اموال تمليکي,150,3,تعداد 3 قطعه گیر بکس خودرو,87084010,0
210848,210848,1,552250,1405/4/2 12:7:9,"4,587,313,500","3,500",سازمان جمع آوري و فروش اموال تمليکي,6,1,تعداد 33 عدد کرم پوست,33049930,0
210851,210851,1,552118,1405/4/2 12:7:34,"4,587,313,500","3,500",سازمان جمع آوري و فروش اموال تمليکي,1,1,تعداد 17 عدد (9 عدد کرم آبرسان و 8 عدد ریمل),33049930,0
