normalized_kootaj,original_values,row_count,classification,زمان_کوتاژ,صاحب_کالا
83334,83334,1,EXISTING_SKIPPED,1401/3/1 14:34:31,سازمان جمع آوري و فروش اموال تمليکي
83984,83984,1,EXISTING_SKIPPED,1401/1/27 14:11:19,سازمان جمع آوري و فروش اموال تمليکي
95914,95914,1,EXISTING_SKIPPED,1401/3/1 11:55:13,سازمان جمع آوري و فروش اموال تمليکي
127602,127602,1,EXISTING_SKIPPED,1401/1/22 9:32:30,سازمان جمع آوري و فروش اموال تمليکي
127623,127623,1,EXISTING_SKIPPED,1401/1/21 11:6:15,سازمان جمع آوري و فروش اموال تمليکي
127638,127638,1,EXISTING_SKIPPED,1401/1/22 9:36:7,سازمان جمع آوري و فروش اموال تمليکي
127641,127641,1,EXISTING_SKIPPED,1401/1/22 9:35:54,سازمان جمع آوري و فروش اموال تمليکي
127650,127650,1,EXISTING_SKIPPED,1401/1/22 9:19:12,سازمان جمع آوري و فروش اموال تمليکي
127653,127653,1,EXISTING_SKIPPED,1401/1/22 9:35:23,سازمان جمع آوري و فروش اموال تمليکي
127659,127659,1,EXISTING_SKIPPED,1401/1/22 9:35:41,سازمان جمع آوري و فروش اموال تمليکي
127662,127662,1,EXISTING_SKIPPED,1401/1/22 9:35:5,سازمان جمع آوري و فروش اموال تمليکي
127665,127665,1,EXISTING_SKIPPED,1401/1/22 8:58:53,سازمان جمع آوري و فروش اموال تمليکي
127690,127690,1,EXISTING_SKIPPED,1401/1/22 9:26:15,سازمان جمع آوري و فروش اموال تمليکي
127717,127717,1,EXISTING_SKIPPED,1401/1/23 13:50:5,سازمان جمع آوري و فروش اموال تمليکي
127723,127723,1,EXISTING_SKIPPED,1401/1/23 13:49:28,سازمان جمع آوري و فروش اموال تمليکي
127726,127726,1,EXISTING_SKIPPED,1401/1/23 13:38:26,سازمان جمع آوري و فروش اموال تمليکي
127744,127744,1,EXISTING_SKIPPED,1401/1/23 13:57:50,سازمان جمع آوري و فروش اموال تمليکي
127747,127747,1,EXISTING_SKIPPED,1401/1/23 13:57:37,سازمان جمع آوري و فروش اموال تمليکي
127753,127753,1,EXISTING_SKIPPED,1401/1/23 13:57:21,سازمان جمع آوري و فروش اموال تمليکي
127756,127756,1,EXISTING_SKIPPED,1401/1/23 13:57:7,سازمان جمع آوري و فروش اموال تمليکي
127759,127759,1,EXISTING_SKIPPED,1401/1/23 13:50:27,سازمان جمع آوري و فروش اموال تمليکي
127762,127762,1,EXISTING_SKIPPED,1401/1/23 13:56:57,سازمان جمع آوري و فروش اموال تمليکي
127765,127765,1,EXISTING_SKIPPED,1401/1/23 13:56:41,سازمان جمع آوري و فروش اموال تمليکي
127771,127771,1,EXISTING_SKIPPED,1401/1/23 12:9:14,سازمان جمع آوري و فروش اموال تمليکي
127774,127774,1,EXISTING_SKIPPED,1401/1/23 13:56:26,سازمان جمع آوري و فروش اموال تمليکي
127777,127777,1,EXISTING_SKIPPED,1401/1/23 13:56:16,سازمان جمع آوري و فروش اموال تمليکي
127786,127786,1,EXISTING_SKIPPED,1401/1/23 13:56:3,سازمان جمع آوري و فروش اموال تمليکي
127789,127789,1,EXISTING_SKIPPED,1401/1/23 13:55:48,سازمان جمع آوري و فروش اموال تمليکي
127795,127795,1,EXISTING_SKIPPED,1401/1/23 13:55:10,سازمان جمع آوري و فروش اموال تمليکي
127798,127798,1,EXISTING_SKIPPED,1401/1/23 13:54:42,سازمان جمع آوري و فروش اموال تمليکي
127801,127801,1,EXISTING_SKIPPED,1401/1/23 13:52:41,سازمان جمع آوري و فروش اموال تمليکي
127804,127804,1,EXISTING_SKIPPED,1401/1/23 13:52:58,سازمان جمع آوري و فروش اموال تمليکي
